id,url,doc_type,scheme,date_collected
1,https://www.sbimf.com/sbimf-scheme-details/sbi-large-cap-fund-(formerly-known-as-sbi-bluechip-fund)-43,scheme_page,SBI Large Cap Fund (formerly SBI Bluechip Fund),2026-05-10
2,https://www.sbimf.com/docs/default-source/sif-forms/sid---sbi-large-cap-fund-(formerly-known-as-bluechip-fund).pdf?sfvrsn=e1d23c61_0,sid,SBI Large Cap Fund (formerly SBI Bluechip Fund),2026-05-10
3,https://www.sbimf.com/docs/default-source/default-library/kim---sbi-blue-chip-fund32655f1826bd4e598e32b00e729fb603.pdf?sfvrsn=a4d81142_0,kim,SBI Large Cap Fund (formerly SBI Bluechip Fund),2026-05-10
4,https://www.sbimf.com/sbimf-scheme-details/sbi-flexicap-fund-39,scheme_page,SBI Flexicap Fund,2026-05-10
5,https://www.sbimf.com/docs/default-source/sif-forms/sid---sbi-flexicap-fund.pdf?sfvrsn=61aca6fd_0,sid,SBI Flexicap Fund,2026-05-10
6,https://www.sbimf.com/sbimf-scheme-details/sbi-long-term-equity-fund-(previously-known-as-sbi-magnum-taxgain-scheme)-3,scheme_page,SBI ELSS Tax Saver Fund (formerly SBI Long Term Equity Fund),2026-05-10
7,https://www.sbimf.com/docs/default-source/scheme-factsheets/sbi-elss-tax-saver-fund-factsheet-august-2025.pdf?sfvrsn=fe92c9d7_2,factsheet,SBI ELSS Tax Saver Fund (formerly SBI Long Term Equity Fund),2026-05-10
8,https://www.sbimf.com/docs/default-source/lists/sid---sbi-elss-tax-saver-fund-(formerly-known-as-sbi-long-term-equity-fund).pdf?sfvrsn=34c14e55_0,sid,SBI ELSS Tax Saver Fund (formerly SBI Long Term Equity Fund),2026-05-10
9,https://www.sbimf.com/docs/default-source/pdf/equity-schemes---scheme-differentiation.pdf,comparison,General,2026-05-10
10,https://www.sbimf.com/faq,faq,General,2026-05-10
11,https://www.sbimf.com/smart-statement,guide,General,2026-05-10
12,https://www.sbimf.com/sip,guide,General,2026-05-10
13,https://www.sbimf.com/mutual-fund/equity-mutual-funds,category_listing,General,2026-05-10
14,https://www.sbimf.com/,amc,General,2026-05-10
15,https://www.amfiindia.com/investor-corner/knowledge-center/SEBI-categorization-of-mutual-fund-schemes.html,regulatory,General,2026-05-10
16,https://www.amfiindia.com/online-center/risk-o-meter,risk,General,2026-05-10
17,https://www.amfiindia.com/investor-corner/knowledge-center/risks-in-mutual-funds.html,educational,General,2026-05-10
18,https://www.amfiindia.com/investor-corner/knowledge-center/what-are-mutual-funds-new.html,educational,General,2026-05-10
19,https://www.amfiindia.com/net-asset-value/nav-history,data,General,2026-05-10
20,https://www.amfiindia.com/,industry,General,2026-05-10
21,https://www.sebi.gov.in/department/investment-management-department-9/overview.html,regulatory,General,2026-05-10
22,https://investor.sebi.gov.in/understanding_mf.html,educational,General,2026-05-10
